Product_ID,Links,Title,Short_title,Price,Introducing,Date_Time,Description
34,https://www.bakingo.com/sites/default/files/styles/might_like/public/mountainous-pistachio-greenery-cake0399exot-A.jpg?itok=FGqEXugl,Mountainous Pistachio Greenery,Chocolate Pistachio Cake,Rs. 649,A perfect gift for nature's lover and a foodie. Shop now!,2018-06-15 08:30:24.175384,"Transport them to the beautiful green valleys surrounded by lofty peaks with this resilient delicious cake. Surrounded by chocolate peaks and dusted with pistachio, this nutrient-filled cake is a delight for all sweet-tooths and all their senses. Leave them awestruck with this decadence and remind them how much you care about their health and heart."
35,https://www.bakingo.com/sites/default/files/styles/might_like/public/pistachio-licious-addiction-cake0398exot-A.jpg?itok=m6aK76kC,Pistachio-licious Addiction,Pistachio Drizzle Cake,Rs. 579,Wishing to grab a love bite for a healthy heart?,2018-06-15 08:30:24.175391,"Drizzling with benefits from the heartiest pistachio, this decadency is sure to line up every one from all the corner for more. Ample in itself, this cake is rich in taste and texture and is loaded with bites for a healthier heart. This is also a new innovation to indulge everyone in sweetness."
36,https://www.bakingo.com/sites/default/files/styles/might_like/public/funfetti-rainbow-tower-cake0397exot-A.jpg?itok=llEDMnvA,Funfetti Rainbow Tower,Imploding Confetti Cake,Rs. 999,Looks like a beautiful delicious castle? Doesn't it?,2018-06-15 08:30:24.175398,"Any celebration is incomplete without this funfetti cake. Pipped with beautiful creamy decorations, this towering beauty is a grandiose deliciousness is sure to sweep everyone off their feet. And not just this, along with this beautify their day with extra sweetness and some extra colors with each bite topped with sumptuous confetti."
37,https://www.bakingo.com/sites/default/files/styles/might_like/public/rainbow-surprise-cake0396exot-A.jpg?itok=RBvFmzaY,Rainbow Surprise,Rainbow Gems Tower Cake,Rs. 949,Treasure happiest moments with decadent bites of this precious gems cake.,2018-06-15 08:30:24.175405,"You don't have to wait for Holi to make any celebration a vibrant one. You can simply order this tower full of rainbow colors and flavors and paint everyone's day here at your place, a colorful one. An impactful cake, this decadence is sure to allure everyone at the celebration and make them grab for more!"
38,https://www.bakingo.com/sites/default/files/styles/might_like/public/forbidden-gulkand-cake0394exot-A.jpg?itok=bb76c7iG,Gulkand Cake,Gulkand Rose Cake,Rs. 549,Jam them in the layers of a sassy delicious compilation.,2018-06-15 08:30:24.175412,"Baking knows no boundaries and when all you deserve nothing but the best, here's a cake with the layers of rose petal jam, also known as Gulkand. This cake is brimming with flavors of delicious nature's candy along this appetizing chocolate that can make anyone drool in the sweetest symphony and line them up for more. Grab this imploding flavorful beauty with a single click now!"
39,https://www.bakingo.com/sites/default/files/styles/might_like/public/chocolate-nut-cake-A.jpg?itok=i0sxWjI4,Choco-Nutty-Licious,Chocolate Nut Cake,Rs. 600,Indulge into the Romantic Story of chocolate glaze frosting with Velvety Smooth Cream and Walnut Crunch!,2018-06-15 08:30:24.175419,"We simply call it the Most-Wanted Cake because it tastes that good! This three-layered soft and moist cake is filled with velvety smooth Rich Chocolate Cream and is laden with nuts. Topped with Chocolate glaze and adorned with Walnuts, this incredibly tasting heavenly dessert tops our list!"
40,https://www.bakingo.com/sites/default/files/styles/might_like/public/blueberry-cake-A.jpg?itok=Y4AJOkGg,"Blue Berry Bonanza ""3B""",Blueberry Cake,Rs. 500,Take a bite and dive into the divine flavour of velvety smooth blueberry! Seductive outside.. delicious inside..,2018-06-15 08:30:24.175426,"The cake to calm your flavour spectrum cravings! This sinfully delicious three-layered cake with whipped rich cream and lush blueberry cream frosting will definitely have an undeniable impact on your taste pallet. Topped with blueberry crush and white chocolate dressing, it makes it look as delectable as it tastes."
41,https://www.bakingo.com/sites/default/files/styles/might_like/public/hawaiian-pineapple-cake-A.jpg?itok=QX2i7DNy,Classique Pina Caramelo,Hawaiian Pineapple Cake,Rs. 500,Escape into the Hawaiian world of sweetness with a ravishing combination of pineapple and butterscotch,2018-06-15 08:30:24.175433,"Taste this and you will, without a doubt, want more. This is made of delicious butterscotch chips and pineapple chunks that are blended well with the mushy rich cream carrying the tempting aroma. Frosted with fresh slices of pineapple and cherry, this is a scrumptious treat for the ones absolutely enthralled with sweetness."
42,https://www.bakingo.com/sites/default/files/styles/might_like/public/chocolate-mud-cake-A.jpg?itok=NjvWqLGr,Choco-Thrill,Chocolate Mud Cake,Rs. 500,"This Chocolate Mud Cake is rich, dense and oh-so-amazing! A chocolate lover's Perfection!",2018-06-15 08:30:24.175440,"A true classic and dominant cake that is sure to gratiate your taste buds! Made with three layers of mushy chocolate sponge and whipped cream, and covered with creamy chocolate on the sides, this chocolate mud cake is truthfully one delicious feast! Further, crowned with white chocolate and cherry, this one is our favorite too!"
43,https://www.bakingo.com/sites/default/files/styles/might_like/public/coffee-mocha-cake-A.jpg?itok=XUBnDddp,Coffee Mocha Felicity,Coffee Mocha Cake,Rs. 550,Presenting the Choco mocha and coffee flavoured cake with chocolate chips simply waiting to be found!,2018-06-15 08:30:24.175446,"The tender Coffee mocha cake with dreamy chocolate fillings inside is not only meant to celebrate the special occasions but also to celebrate your love for coffee. This espresso felicity made of three layers of mushy cake and rich creamy coffee glaze with delectable chocolate rice at the sides, is going to make every bite melt in your mouth. Adorned with rich chocolate glaze and whipped coffee cream, could it get any better?"
